leisure	name	sport	lat	lon	type	id	height	climbing:rock	natural	climbing	climbing:bolted	climbing:orientation	climbing:quality	climbing:sport	climbing:grade:french:max	climbing:grade:french:min	climbing:length	climbing:crag	climbing:grade:french:mean
outdoor_climbing_area	Sass de la Vecia	climbing	11.0827457	45.8306305	Feature	node/9038021541		limestone		crag		NW	solid	yes					
outdoor_climbing_area		climbing	10.917098	45.8889644	Feature	node/9108928514							fragile	yes					
outdoor_climbing_area		climbing	11.2386541	45.9512814	Feature	node/9117634024				rock=limestone									
outdoor_climbing_area	Via dei Ciclamini	climbing	10.9199243	45.9553987	Feature	node/9229728306													
outdoor_climbing_area	Freiheit die ich meine	climbing	10.8958267	45.9392061	Feature	node/9231737403													
outdoor_climbing_area	7 Muri	climbing	10.8952387	45.9386465	Feature	node/9231773768													
outdoor_climbing_area	Selene	climbing	10.8959368	45.9393696	Feature	node/9231790101													
outdoor_climbing_area	I Moschetteri	climbing	10.8962171	45.9396379	Feature	node/9231827020													
outdoor_climbing_area	Weg durch das Gesicht	climbing	10.8964683	45.9397813	Feature	node/9231839145													
outdoor_climbing_area	Orfeo	climbing	10.8947746	45.9382935	Feature	node/9231840020													
outdoor_climbing_area	Via Roberto	climbing	10.8954943	45.9388911	Feature	node/9231848896													
outdoor_climbing_area	Cascata di Mezzodì	climbing	11.1261999	45.699226	Feature	node/9253925708			cliff										
outdoor_climbing_area	Cascata Pilastro	climbing	11.1267471	45.6988063	Feature	node/9253931227			cliff										
outdoor_climbing_area		climbing	11.1274338	45.7050985	Feature	node/9253954388			cliff										
outdoor_climbing_area		climbing	11.1289465	45.7051229	Feature	node/9253954408			cliff										
outdoor_climbing_area		climbing	11.1288071	45.7046508	Feature	node/9253954416			cliff										
outdoor_climbing_area		climbing	11.1292577	45.7042312	Feature	node/9253963626			cliff										
outdoor_climbing_area	Vi Piace il Posto?	climbing	11.1189365	45.7381775	Feature	node/9706643290	60												
outdoor_climbing_area	Dimensione terzo	climbing	10.9189146	45.9545522	Feature	node/9763491262													
outdoor_climbing_area	Brooklyn	climbing	11.6450509	46.3082834	Feature	node/9786587975													
outdoor_climbing_area		climbing	11.6491135	46.3071287	Feature	node/9787578420													
outdoor_climbing_area	Mondino	climbing	11.1350077	46.4522569	Feature	node/9986950045													
outdoor_climbing_area	Marino Stenico	climbing	11.1656789	46.4484623	Feature	node/9988803202													
outdoor_climbing_area	Falesia Falegnameria	climbing	10.9926752	45.7980766	Feature	node/10002052545		limestone	cliff					yes					
outdoor_climbing_area	Falesia Piam del Levro - Val del Orco	climbing	11.0913361	45.8520826	Feature	node/10002089523		limestone	cliff					yes					
outdoor_climbing_area		climbing	10.9617427	45.8571355	Feature	node/10073769165				route	yes								
outdoor_climbing_area	La Cengia Rossa	climbing	10.8933874	45.9367791	Feature	node/10115995774													
outdoor_climbing_area	Marmite dei Giganti	climbing	10.8843189	45.8788847	Feature	node/10310735812													
outdoor_climbing_area	Campanile Teresa : La Gioventù dei Vecchi Eroici	climbing	10.9035586	46.1519415	Feature	node/10558995836	2500		cliff										
